order_id,order_date,shipped_date,status,comments,customer_id
SCGJN3UOU3,2022-10-02,2022-10-15,shipped,Wonderful service and skis.  Milo went above and beyond to help us and we're so grateful.,HF6V28SD33
EJLTNUNSM4,2022-10-31,2022-10-23,shipped,Great selection on boards and gear! From Never Summer to Santa Cruz! The Creature boards are the most creative boards I have seen but for the price I...,TFDD6CMXHK
3GI4VIWC0R,2022-10-23,2022-11-08,shipped,,P3AI8086NI
R3UDVCME2F,2022-10-08,2022-10-09,shipped,,VPXFGV2ZQQ
NVSH3K0EAR,2022-10-12,2022-11-24,shipped,"Overall, my experience at Surefoot was good - the person who helped me out was attentive and knowledgeable, and my customizable boots have been a game...",JCG9AIOOJ3
KBOU18N1KZ,2022-10-25,2022-10-24,shipped,,I1Z7FB5JIA
KPWYIPGPUD,2022-10-26,2022-10-07,shipped,"One of the best shops in Denver. Nicest people, will fix a flat or help you out with a smile and right away if you come in with an emergency like a flat...",OOC15BIEPN
Q1EZWAU8WO,2022-10-04,2022-10-10,shipped,,GQLRM6NT3Y
4P2ZL1MV79,2022-10-12,2022-10-06,shipped,Overall had a great experience at Surefoot Denver! Jack was amazing and super knowledgeable! Staff answered all my questions and was really thorough in...,LSD5J1EL2V
LUZDDII1MD,2022-10-23,2022-11-23,shipped,"Absolutely stellar customer service. I got a new snowboard last season from their website, a Nitro. Rode it 4x before I noticed there were some raised bumps...",19VKIKW6BL
A0ODET4EEE,2022-10-31,2022-11-12,shipped,Came in for snowboard rentals for the next day. Jordan assisted me and was so patient and pleasant during the whole process. I needed to try multiple boots...,0XSIP035ED
FLX7CUQUXD,2022-10-16,2022-10-30,shipped,,H15MKUR37L
WJAQDUD7X0,2022-10-04,2022-10-08,shipped,,KX0AG9WGH2
64OAIO68HH,2022-10-31,2022-11-09,shipped,,FKDRUW596H
GWYVYW4LTG,2022-10-30,2022-11-04,shipped,Great selection on boards and gear! From Never Summer to Santa Cruz! The Creature boards are the most creative boards I have seen but for the price I...,S9G4QGQG3Y
8OE7J6RRVE,2022-10-17,2022-11-25,shipped,"Timur runs the best shop around. He knows what he's doing, has the best equipment for the job and he backs his work up. If you're not happy with the tune,...",Q3EHI6QQLL
71LNPN1D4R,2022-10-23,2022-10-20,shipped,"I will admit, this place has some pretty cool gear. We were faithful to this place. The last couple times we've been in there all the employees have had...",CAKNOCMIKF
BUF1GXQIDO,2022-10-25,2022-11-22,shipped,,XRSIDTQY2N
F3CPXMW7NK,2022-10-16,2022-10-10,shipped,,GLHCG325FM
